时间,仿真时间,真实压高度,仿真气压高度,真实指示空速,仿真指示空速,真实真空速,仿真真空速,真实马赫数,仿真马赫数,真实垂直速度,仿真垂直速度,真实大气静温,仿真大气静温
1797.9,1797.9,11232.6871901608,11200.4376938199,136.208450338083,136.095829674907,259.65230524278,259.491669325686,0.879969657765242,0.809193267583387,8.23261526213902,2.9130538110284,216.65,220.783510993163
1798,1798,11233.510532394,11196.069974865,136.216233163159,135.962652084116,259.684588052579,259.162022801468,0.880079065201713,0.808241677433637,8.23422940262896,2.44274115475713,216.65,220.867243001383
1798.1,1798.1,11234.3340321246,11190.5800101788,136.223222412793,135.82812880967,259.715304182793,258.810569728912,0.880183163112828,0.807221325518088,8.23576520913963,2.49821405555508,216.65,220.932693095935
1798.2,1798.2,11235.1576815161,11185.8462751276,136.229417724214,136.247009825249,259.7444524208,259.526561057227,0.880281947388978,0.809195400886558,8.23722262104002,2.43531252530596,216.65,220.989601947212
1798.3,1798.3,11235.9814727262,11199.8961426842,136.234818764552,136.024510327321,259.77203161588,259.346291528755,0.88037541413033,0.808782701926205,8.238601580794,2.30543926496152,216.65,220.886424677029
1798.4,1798.4,11236.8053979069,11204.2474719936,136.239425230835,135.936000528729,259.798040679252,259.252985522226,0.880463559646977,0.808549879425985,8.2399020339626,2.45520367370996,216.65,220.878501238145
1798.5,1798.5,11237.6294492051,11220.7199256988,136.243236849994,136.070452058154,259.822478584123,259.795596275711,0.880546380459086,0.810176405577584,8.24112392920616,2.99179053001625,216.65,220.760393709746
1798.6,1798.6,11238.4536187625,11206.2096614051,136.246253378858,136.02770637523,259.845344365727,259.461940058162,0.880623873297031,0.809147762624381,8.24226721828635,3.05123868110552,216.65,220.941381129678
1798.7,1798.7,11239.2778987162,11222.9659841923,136.248474604156,136.242650347743,259.866637121361,260.163477216908,0.880696035101529,0.81122045573501,8.24333185606806,2.69133656262301,216.65,220.764982155374
1798.8,1798.8,11240.102281199,11212.9549878811,136.249900342513,136.363449363509,259.886356010425,260.219753997606,0.880762863023755,0.811312621311439,8.24431780052123,3.1238789135162,216.65,220.868916431424
1798.9,1798.9,11240.9267583397,11198.0180021198,136.250530440447,136.550034006245,259.904500254449,260.315560106419,0.880824354425458,0.811483008827895,8.24522501272245,3.13065391747216,216.65,221.024515419044
1799,1799,11241.7513222631,11176.1345322082,136.250364774364,136.511026623633,259.921069137131,259.860707150393,0.880880506879061,0.810066919462109,8.24605345685654,3.2076311050907,216.65,221.239985778401
1799.1,1799.1,11242.575965091,11179.7744397772,136.249403250557,136.755723308301,259.936062004359,260.389853553201,0.880931318167762,0.811571225222365,8.24680310021795,2.76774732259205,216.65,221.201339133479
1799.2,1799.2,11243.4006789417,11168.645352641,136.247645805193,136.642156351635,259.949478264241,259.980169421562,0.880976786285619,0.81035197739168,8.24747391321204,3.10050963444437,216.65,221.304444010219
1799.3,1799.3,11244.2254559308,11177.5457462799,136.245092404313,136.70946437026,259.961317387125,260.262999001424,0.881016909437628,0.811201758070829,8.24806586935625,2.66013619866136,216.65,221.25290308033
1799.4,1799.4,11245.0502881715,11177.5588933417,136.24174304382,136.562911939345,259.971578905624,259.984225750232,0.881051686039796,0.810421915437645,8.24857894528118,2.71883977781064,216.65,221.287309419991
1799.5,1799.5,11245.8751677748,11188.2339725679,136.237597749473,136.459172671088,259.980262414629,259.972193145965,0.881081114719201,0.810458289475669,8.24901312073146,2.4597779356213,216.65,221.154739226144
1799.6,1799.6,11246.7000868498,11193.9731983009,136.232656576874,136.537982789998,259.987367571332,260.222183745466,0.881105194314051,0.811195322709269,8.2493683785666,2.42999992527653,216.65,221.11404779772
1799.7,1799.7,11247.525037504,11202.5993693457,136.226919611463,136.584064655916,259.992894095232,260.460237029241,0.881123923873724,0.811917643926179,8.24964470476162,2.82171548288063,216.65,221.03259492737
1799.8,1799.8,11248.3500118436,11210.4099784012,136.220386968501,136.546928859155,259.996841768153,260.525516571203,0.881137302658809,0.812151253642499,8.24984208840763,3.41406876580993,216.65,220.948704617346
1799.9,1799.9,11249.1750019741,11206.9842070627,136.213058793063,136.705202941896,259.999210434245,260.767722259984,0.881145330141134,0.812806157593191,8.24996052171227,3.36649369883468,216.65,220.944239487157
1800,1800,11250.0000000002,11217.5013280116,136.204935260018,136.948071803696,260,261.414895555734,0.881148006003789,0.814683713906207,8.25,3.03934627322,216.65,220.856664077551
1800.1,1800.1,11250.8249980263,11223.3960571441,136.196016574024,136.885572370276,259.999210434245,261.398699783019,0.881145330141134,0.814676894425026,8.24996052171227,2.52356563216037,216.65,220.829991560379
1800.2,1800.2,11251.6499881568,11215.6764189357,136.186302969505,136.836594989382,259.996841768153,261.170204952755,0.881137302658809,0.813988019677262,8.24984208840763,2.23773124393323,216.65,220.917574422425
1800.3,1800.3,11252.4749624965,11209.0651547187,136.175794710641,136.840211690517,259.992894095232,261.061596687358,0.881123923873724,0.813641294977625,8.24964470476162,2.31611955759629,216.65,220.960929320285
1800.4,1800.4,11253.2999131506,11214.1963821962,136.164492091349,136.799219517359,259.987367571332,261.073011350747,0.881105194314051,0.813706706700005,8.2493683785666,2.29739197475492,216.65,220.876989451403
1800.5,1800.5,11254.1248322256,11219.8263304053,136.152395435262,136.893146294105,259.980262414629,261.350713083196,0.881081114719201,0.814519536340053,8.24901312073146,2.53403101518646,216.65,220.822887352999
1800.6,1800.6,11254.9497118289,11211.5602627751,136.13950509572,136.954607438069,259.971578905624,261.323461038326,0.881051686039796,0.814389442622555,8.24857894528118,1.80938970099058,216.65,220.903287825645
1800.7,1800.7,11255.7745440696,11213.9682705055,136.125821455739,136.843502063497,259.961317387125,261.153535605665,0.881016909437628,0.81393028320819,8.24806586935625,2.36651795692739,216.65,220.875127340062
1800.8,1800.8,11256.5993210587,11233.0135767086,136.111344928002,136.734044215362,259.949478264241,261.277503586474,0.880976786285619,0.814400842013551,8.24747391321203,2.54499971893545,216.65,220.697900857717
1800.9,1800.9,11257.4240349094,11228.8574725255,136.096075954828,136.780410189173,259.936062004359,261.293387539292,0.880931318167762,0.814418184967025,8.24680310021795,2.51850642449655,216.65,220.738779887039
1801,1801,11258.2486777373,11229.6782741573,136.080015008158,136.863818886292,259.921069137131,261.467091232839,0.880880506879061,0.814908904355484,8.24605345685654,2.22829461707281,216.65,220.763443186933
1801.1,1801.1,11259.0732416608,11231.5621568711,136.063162589527,136.768764814097,259.904500254449,261.318454380894,0.880824354425457,0.814505836989896,8.24522501272245,1.7423783634489,216.65,220.737527070914
1801.2,1801.2,11259.8977188014,11226.9969459103,136.045519230043,136.512396150271,259.886356010425,260.748918795905,0.880762863023755,0.812884122666391,8.24431780052123,1.37517348819654,216.65,220.837194697982
1801.3,1801.3,11260.7221012842,11227.151172775,136.027085490362,136.59366072212,259.866637121361,260.906833847108,0.880696035101529,0.813326631873754,8.24333185606806,1.36615716664705,216.65,220.872075299245
1801.4,1801.4,11261.546381238,11232.1311741482,136.007861960662,136.505701843445,259.845344365727,260.8257670581,0.880623873297031,0.813132400725392,8.24226721828634,1.57276677866464,216.65,220.829213669908
1801.5,1801.5,11262.3705507953,11238.6160367145,135.987849260616,136.531078933342,259.822478584123,260.987555521486,0.880546380459086,0.813626862258788,8.24112392920616,1.57604429547207,216.65,220.780817308134
1801.6,1801.6,11263.1946020935,11252.8244253683,135.967048039367,136.883886829645,259.798040679252,261.911101906779,0.880463559646977,0.816299572200813,8.2399020339626,0.467857596267366,216.65,220.617616307562
1801.7,1801.7,11264.0185272742,11259.4013756652,135.9454589755,136.783871399267,259.77203161588,261.835087854808,0.88037541413033,0.816129879714853,8.238601580794,0.686580282381953,216.65,220.560389661102
1801.8,1801.8,11264.8423184843,11261.8693917975,135.923082777007,136.757180082606,259.7444524208,261.827291982538,0.880281947388977,0.816124081235181,8.23722262104001,0.45559358455586,216.65,220.553181221438
1801.9,1801.9,11265.6659678758,11265.9879953434,135.899920181267,136.906191225128,259.715304182792,262.184936061825,0.880183163112827,0.817149473182067,8.23576520913962,0.570210408805515,216.65,220.539258937901
1802,1802,11266.4894676064,11273.7813310264,135.875971955009,136.787793599184,259.684588052579,262.095071348574,0.880079065201713,0.816948918849853,8.23422940262896,0.302410069780583,216.65,220.471316787619
1802.1,1802.1,11267.3128098397,11277.1533353741,135.85123889428,136.808386655248,259.65230524278,262.193792992457,0.879969657765242,0.817246339178055,8.23261526213901,0.211232406963684,216.65,220.423461289442
1802.2,1802.2,11268.1359867453,11286.2354321024,135.825721824416,136.917740351287,259.618457027866,262.56321450253,0.879854945122632,0.818336166749505,8.2309228513933,0.0353813920446877,216.65,220.372412284495
1802.3,1802.3,11268.9589904998,11267.2550566778,135.799421600007,137.095094950324,259.583044744106,262.568996336059,0.879734931802543,0.818229780118373,8.2291522372053,0.170303014492442,216.65,220.562632761719
1802.4,1802.4,11269.7818132861,11254.2539055183,135.772339104862,136.969725179294,259.546069789516,262.100442963762,0.879609622542895,0.816837582718304,8.22730348947582,-0.192916157957546,216.65,220.688018883913
1802.5,1802.5,11270.6044472946,11250.7607466627,135.744475251976,136.977355173315,259.507533623806,262.053711518232,0.879479022290682,0.81668444497098,8.22537668119027,-0.948115350039141,216.65,220.722979825011
1802.6,1802.6,11271.4268847231,11249.2469863782,135.715830983493,136.793053156392,259.467437768315,261.674584218875,0.879343136201779,0.815615744514238,8.22337188841573,-0.929108701146657,216.65,220.793063574662
1802.7,1802.7,11272.249117777,11256.3032243015,135.686407270669,136.559863974963,259.42578380596,261.352028377062,0.879201969640736,0.814760277995721,8.22128919029799,-0.838179529437946,216.65,220.78442821898
1802.8,1802.8,11273.07113867,11269.2094965,135.656205113834,136.493249454257,259.382573381168,261.450568791502,0.879055528180568,0.815119128813206,8.21912866905841,-0.490539076417248,216.65,220.640555981151
1802.9,1802.9,11273.892939624,11281.5993573645,135.625225542356,136.642860698317,259.337808199813,261.954637060718,0.878903817602532,0.816607200954943,8.21689040999065,-0.769541570644623,216.65,220.530629475836
1803,1803,11274.7145128695,11304.2465461513,135.593469614598,136.774643334066,259.291490029147,262.605883274843,0.878746843895902,0.818571123037039,8.21457450145738,0.331130310005693,216.65,220.353009742311
1803.1,1803.1,11275.5358506464,11330.1126578999,135.560938417881,136.936016615925,259.243620697733,263.372598043175,0.878584613257732,0.820875893163975,8.21218103488667,-0.221198561175395,216.65,220.135673467637
1803.2,1803.2,11276.3569452033,11322.8894663078,135.527633068441,136.975489847777,259.19420209537,263.320780160054,0.878417132092608,0.820685174320493,8.20971010476849,0.206395039476962,216.65,220.20517316733
1803.3,1803.3,11277.177788799,11344.239258739,135.493554711389,136.915241936958,259.143236173019,263.582612015584,0.878244407012401,0.821551705804111,8.20716180865094,0.329171239554404,216.65,220.003358081101
1803.4,1803.4,11277.9983737018,11330.2565423886,135.458704520665,136.911452374269,259.090724942728,263.327897232689,0.878066444836002,0.820752148627745,8.20453624713638,0.269569753491187,216.65,220.114930201383
1803.5,1803.5,11278.8186921904,11321.6484399525,135.423083698998,136.826150956035,259.03667047755,263.011778223346,0.877883252589052,0.819815308296379,8.20183352387749,0.376194639029906,216.65,220.223561452163
1803.6,1803.6,11279.6387365538,11298.2582368683,135.386693477857,136.632960395407,258.981074911463,262.228478180229,0.877694837503667,0.817479129021452,8.19905374557315,0.314505030055014,216.65,220.454533440704
1803.7,1803.7,11280.4584990922,11295.169245228,135.349535117413,136.42449766586,258.923940439285,261.774143105554,0.877501207018153,0.816190468595472,8.19619702196425,0.332703412478015,216.65,220.495853149743
1803.8,1803.8,11281.2779721166,11298.4478976201,135.311609906484,136.362614400641,258.865269316587,261.71295508601,0.877302368776709,0.816040628092608,8.19326346582934,-0.542012371005682,216.65,220.487339074989
