时间,仿真时间,真实压高度,仿真气压高度,真实指示空速,仿真指示空速,真实真空速,仿真真空速,真实马赫数,仿真马赫数,真实垂直速度,仿真垂直速度,真实大气静温,仿真大气静温
69.5,69.5,404.425933481035,384.986327043653,194.436966911285,192.278633797408,206.450483190188,196.031278895886,0.609468916571267,0.577145416433029,5.57252415950942,0.311342777921766,285.521231432373,288.005244479347
69.6,69.6,404.983777734558,291.373963653514,194.638470627061,189.908766847401,206.687218219081,192.7043253852,0.610171663901985,0.567108152876864,5.58436091095403,0.767806775950058,285.517605444725,288.142212969124
69.7,69.7,405.54280697714,371.634922362695,194.840363616427,194.753394555348,206.924478813802,198.420726400842,0.610875979980966,0.584119958096512,5.59622394069012,-0.196627601608246,285.513971754649,286.808402104722
69.8,69.8,406.103023813194,435.089237640253,195.042637297276,196.470114334507,207.162255607712,200.811557724238,0.61158183723295,0.591317281680479,5.60811278038558,-0.133584336471352,285.510330345214,287.669415697668
69.9,69.9,406.664430800248,468.093964237185,195.245283077762,196.336727102328,207.400539213788,201.009990490411,0.612289208021694,0.591993947593856,5.62002696068939,0.0218984271840465,285.506681199798,287.118276298402
70,70,407.227030448845,325.005127862816,195.448292356693,191.699292343018,207.639320225002,194.850795999049,0.612998064651063,0.573507148588979,5.63196601125011,1.01221474238325,285.503024302083,288.253269680444
70.1,70.1,407.790825222444,414.000306098566,195.651656523943,192.809873836819,207.878589214689,196.860789061594,0.613708379366113,0.579663775924062,5.64392946073445,-0.268116546730649,285.499359636054,286.979576303687
70.2,70.2,408.355817537323,529.167675802342,195.855366960841,200.904334279945,208.118336736919,206.322391137281,0.614420124354187,0.607748495287799,5.65591683684593,-0.455816362478964,285.495687186007,286.374842697142
70.3,70.3,408.922009762483,381.140180725887,196.059415040579,195.954192095526,208.358553326869,199.739831386257,0.615133271746005,0.588018393650279,5.66792766634346,1.01508137514297,285.492006936544,286.952878876152
70.4,70.4,409.489404219553,435.090213246603,196.263792128608,200.131688107788,208.599229501201,204.554052174331,0.615847793616759,0.602296643593629,5.67996147506005,-0.100055788417439,285.488318872573,286.539179318085
70.5,70.5,410.058003182702,326.094733516788,196.468489583037,194.046008981996,208.840355758431,197.246914901413,0.616563661987213,0.580544253935454,5.69201778792154,0.817712522385039,285.484622979312,286.473031924762
70.6,70.6,410.627808878546,406.009920907803,196.673498755033,193.438421641343,209.081922579307,197.422935302974,0.617280848824802,0.581290434686078,5.70409612896535,-0.23521658106789,285.480919242289,287.195455510721
70.7,70.7,411.198823486062,442.626516264115,196.878810989216,199.176409932463,209.323920427185,203.655139044272,0.61799932604473,0.599681013441367,5.71619602135925,-0.0123566243855151,285.477207647341,286.631089698214
70.8,70.8,411.771049136501,511.364161713729,197.084417624058,199.654917865529,209.566339748404,204.854719484666,0.618719065511079,0.603394344672949,5.72831698742021,-0.216109405287716,285.473488180613,286.731977371317
70.9,70.9,412.344487913304,426.723975393656,197.29030999228,197.846254171801,209.809170972665,202.132734596815,0.619440039037913,0.595169645408285,5.74045854863324,0.636689561532727,285.469760828563,287.082501780412
71,71,412.919141852019,494.020978902118,197.496479421247,200.149738289785,210.052404513406,205.1824251949,0.620162218390382,0.604306201605747,5.75262022567029,-0.210070286437304,285.466025577962,286.435927606664
71.1,71.1,413.495012940223,499.18346221053,197.702917233362,200.390128643562,210.296030768184,205.482480942272,0.620885575285838,0.605200764850014,5.76480153840919,0.121465047618015,285.462282415889,286.721860580685
71.2,71.2,414.072103117441,332.862745650878,197.909614746463,194.732019976479,210.540040119051,198.011723206438,0.621610081394942,0.582808599551353,5.77700200595255,1.09931941437152,285.458531329737,287.227486088009
