时间,静压,总压,总温,气压高度,指示空速,真空速,马赫数,垂直速度,大气静温
401.8,74543.3670022143,106772.942590998,305.379781907784,2514.84231848411,218.037068531272,259.7444524208,0.785911420705509,8.23722262104002,271.803524929853
401.9,74535.6502148456,106755.291623281,305.366892827989,2515.66596787562,218.006529874032,259.715304182793,0.785830965891037,8.23576520913963,271.798171208808
402,74527.9354763459,106737.256452231,305.353600306963,2516.48946760621,217.974797588929,259.684588052579,0.785745764081085,8.23422940262896,271.79281846056
402.1,74520.2228597255,106718.837712314,305.339904852839,2517.31280983945,217.941872684472,259.65230524278,0.785655818731336,8.23261526213901,271.787466736044
402.2,74512.5124379119,106700.036059885,305.325806996868,2518.13598674513,217.90775621078,259.618457027866,0.785561133484899,8.2309228513933,271.782116086157
402.3,74504.8042837472,106680.852173138,305.311307293376,2518.95899049956,217.872449259555,259.583044744106,0.785461712172165,8.2291522372053,271.776766561753
402.4,74497.0984699848,106661.286752038,305.296406319717,2519.78181328589,217.835952964052,259.546069789517,0.785357558810671,8.22730348947583,271.771418213642
402.5,74489.3950692869,106641.340518266,305.281104676224,2520.60444729442,217.798268499053,259.507533623806,0.785248677604947,8.22537668119028,271.766071092586
402.6,74481.6941542218,106621.014215157,305.265402986155,2521.4268847229,217.759397080837,259.467437768315,0.785135072946357,8.22337188841574,271.760725249301
402.7,74473.9957972606,106600.30860763,305.249301895646,2522.24911777684,217.719339967151,259.42578380596,0.785016749412935,8.22128919029799,271.755380734451
402.8,74466.3000707748,106579.224482125,305.23280207365,2523.07113866981,217.678098457179,259.382573381168,0.78489371176921,8.21912866905841,271.750037598646
402.9,74458.607047033,106557.762646533,305.215904211883,2523.89293962376,217.635673891508,259.337808199813,0.78476596496603,8.21689040999066,271.744695892446
403,74450.9167981988,106535.923930128,305.198609024768,2524.71451286933,217.5920676521,259.291490029148,0.78463351414037,8.21457450145738,271.739355666349
403.1,74443.2293963272,106513.70918349,305.180917249365,2525.53585064615,217.547281162257,259.243620697733,0.784496364615139,8.21218103488667,271.7340169708
403.2,74435.5449133622,106491.119278438,305.162829645318,2526.35694520313,217.501315886589,259.19420209537,0.784354521898981,8.20971010476849,271.72867985618
403.3,74427.863421134,106468.155107944,305.144346994784,2527.1777887988,217.454173330974,259.143236173019,0.784207991686057,8.20716180865094,271.723344372808
403.4,74420.1849913561,106444.817586066,305.125470102368,2527.99837370159,217.405855042533,259.090724942728,0.784056779855837,8.20453624713639,271.71801057094
403.5,74412.5096956226,106421.107647862,305.106199795055,2528.81869219014,217.356362609581,259.03667047755,0.78390089247287,8.20183352387749,271.712678500764
403.6,74404.8376054054,106397.026249307,305.086536922134,2529.63873655362,217.305697661603,258.981074911463,0.783740335786554,8.19905374557315,271.707348212401
403.7,74397.1687920511,106372.574367218,305.066482355135,2530.45849909199,217.253861869207,258.923940439285,0.783575116230899,8.19619702196425,271.702019755902
403.8,74389.5033267786,106347.752999158,305.046036987742,2531.27797211638,217.20085694409,258.865269316587,0.783405240424278,8.19326346582935,271.696693181243
403.9,74381.8412806765,106322.563163359,305.025201735728,2532.09714794932,217.146684638997,258.805063859604,0.783230715169172,8.19025319298021,271.691368538329
404,74374.1827246997,106297.005898627,305.003977536868,2532.91601892509,217.091346747684,258.743326445145,0.783051547451913,8.18716632225726,271.686045876987
404.1,74366.5277296672,106271.082264255,304.982365350862,2533.73457738998,217.034845104872,258.680059510497,0.782867744442415,8.18400297552487,271.680725246965
404.2,74358.8763662589,106244.793339931,304.960366159251,2534.55281570263,216.97718158621,258.615265553331,0.782679313493896,8.18076327766655,271.675406697933
404.3,74351.2287050135,106218.140225639,304.937980965336,2535.37072623435,216.918358108232,258.5489471316,0.782486262142597,8.17744735658002,271.670090279477
404.4,74343.584816325,106191.124041573,304.915210794087,2536.18830136933,216.858376628311,258.481106863443,0.782288598107492,8.17405534317217,271.664776041099
404.5,74335.9447704406,106163.745928029,304.89205669206,2537.00553350506,216.797239144616,258.411747427078,0.782086329289991,8.17058737135388,271.659464032217
404.6,74328.3086374573,106136.007045317,304.868519727301,2537.82241505253,216.734947696071,258.340871560695,0.781879463773632,8.16704357803475,271.654154302159
404.7,74320.67648732,106107.908573649,304.84460098926,2538.63893843659,216.671504362303,258.268482062353,0.781668009823777,8.16342410311766,271.648846900162
404.8,74313.0483898183,106079.451713047,304.820301588694,2539.45509609622,216.6069112636,258.194581789866,0.781451975887283,8.15972908949328,271.643541875375
404.9,74305.4244145836,106050.637683233,304.795622657572,2540.27088048484,216.541170560861,258.119173660689,0.781231370592185,8.15595868303443,271.638239276848
